iter	Passed	Remaining
0	66	13321
1	68	6739
2	69	4534
3	70	3432
4	71	2777
5	72	2337
6	73	2027
7	74	1793
8	75	1610
9	76	1462
10	78	1342
11	79	1239
12	80	1153
13	81	1080
14	82	1015
15	83	958
16	84	906
17	85	860
18	86	821
19	87	785
20	88	753
21	89	723
22	90	695
23	91	670
24	92	647
25	93	626
26	94	607
27	95	588
28	96	571
29	97	554
30	98	538
31	99	524
32	101	511
33	102	498
34	103	486
35	104	473
36	105	462
37	105	451
38	107	443
39	108	435
40	109	426
41	111	417
42	112	409
43	113	402
44	114	395
45	115	387
46	116	379
47	117	373
48	118	365
49	119	359
50	120	352
51	121	346
52	122	340
53	123	334
54	125	329
55	126	324
56	127	319
57	128	314
58	130	311
59	131	307
60	133	303
61	134	299
62	135	295
63	137	291
64	138	287
65	140	284
66	141	280
67	142	276
68	143	272
69	144	268
70	145	264
71	146	260
72	148	257
73	149	254
74	150	251
75	152	248
76	153	245
77	155	243
78	157	240
79	158	237
80	159	234
81	161	232
82	162	229
83	164	226
84	165	224
85	168	223
86	171	223
87	173	220
88	174	217
89	175	214
90	176	211
91	177	208
92	179	206
93	180	203
94	181	200
95	183	198
96	184	195
97	185	192
98	186	190
99	187	187
100	188	185
101	189	182
102	190	179
103	192	177
104	193	174
105	194	172
106	195	169
107	196	167
108	197	164
109	198	162
110	199	159
111	200	157
112	201	155
113	202	152
114	203	150
115	204	147
116	205	145
117	206	143
118	207	140
119	208	138
120	209	136
121	210	134
122	211	132
123	212	130
124	213	128
125	214	126
126	215	124
127	216	121
128	217	119
129	218	117
130	220	116
131	221	114
132	222	112
133	223	110
134	224	108
135	225	106
136	226	104
137	227	102
138	228	100
139	229	98
140	230	96
141	231	94
142	232	92
143	233	90
144	234	88
145	235	87
146	236	85
147	237	83
148	239	81
149	240	80
150	241	78
151	242	76
152	243	74
153	244	72
154	245	71
155	246	69
156	247	67
157	248	66
158	249	64
159	250	62
160	251	60
161	252	59
162	253	57
163	254	55
164	255	54
165	256	52
166	257	50
167	259	49
168	260	47
169	261	46
170	262	44
171	263	42
172	264	41
173	265	39
174	266	38
175	267	36
176	268	34
177	268	33
178	269	31
179	270	30
180	271	28
181	272	26
182	273	25
183	274	23
184	275	22
185	276	20
186	277	19
187	278	17
188	279	16
189	280	14
190	280	13
191	281	11
192	282	10
193	283	8
194	284	7
195	285	5
196	286	4
197	287	2
198	288	1
199	289	0
